# releve : 2026-08-24
# plateforme : instagram
# compte vitrine : @la_viande_fr
# entite : INTERBEV
# nature : liste des comptes SUIVIS par ce compte (following)
# origine : copier-coller manuel de Vincent, via A_COMPLETER.xlsx
# comptes : 209

pointboucherie	Boucherie Point
gaultetmillaufr	Gault&Millau France
ferrandiparis	FERRANDI Paris
nytcooking	NYT Cooking
institutlyfe_	Institut Lyfe - Ex Institut Paul Bocuse
ttbontv	Très Très Bon
inn_ovin	Inn ovin
thewebergrill	Weber Grill Restaurant + Cooking School
teamfrancebocusedor	Team France Bocuse d'Or
carredeboeuf	𝐂𝐀𝐑𝐑É 𝐃𝐄 𝐁𝐎𝐄𝐔𝐅
lefooding	Le Fooding
reussirpatre	Patre
demotivateurfood_fr	Demotivateur Food
maisonbach	Maison Robert Bach
foodandwine	Food & Wine
barbecueandco	Barbecue & Co
boucherie.a	Boucherie Charcuterie A.mareau
agencebio	Agence BIO
viandeetchef	Viande & Chef
lhotellerie.restauration	L'Hôtellerie Restauration
os.normande	Les éleveurs de Normande
saveurmag	SAVEUR
jadorelagneau	J’adore l’agneau
doriancuisine.com.leblog	
academiedelaviande	L’Académie de la Viande
gerard_holtz	Gérard Holtz
lesfruitsetlegumesfrais	Les fruits et légumes frais
primebbq	PRIME Barbecue
vinsdulanguedoc	Vins du Languedoc
vinsdeprovence_fr	Vins de Provence
tastefrancemagazine	Taste France Magazine
vinsdebordeaux	Vins de Bordeaux
boucheries_raux	Boucheries-Raux
barbecueweber	Barbecue Weber
tendances.restauration	Tendances Restauration
rufusteaguebbq	Rufus Teague
seb_ochoa	Sébastien Ochoa
salondelagriculture	Salon International de l'Agriculture
interbev_occitanie	INTERBEV Occitanie
vinsdebourgogne	Vins de Bourgogne
marchederungis	
boucheriepaupiette	PAUPIETTE | Lyon 3
caves.petrissans	Caves Pétrissans | Cave & Restaurant
sirha_lyon	Sirha Lyon
spatulefoodcontent	Spatule Food Content
maison_reverdel	Boucherie Reverdel
lafemmeduboucher	La Femme du Boucher
cookingout	Cookingout
paulbocuse_officiel	Paul Bocuse
undejeunerdesoleil	Edda Onorato. Photographe culinaire
romain.leboeuf	Romain Leboeuf
boucherie_jojo_paris	Boucherie Jojo Paris
gastroart	Gastro Art
audreycuisine	Audrey Bourdin
axecfd	AXE CFD
mister_vrdr	Nicolas Verdier
lesproduitslaitiers	Les Produits Laitiers
cuisineaz	CuisineAZ
superbon	Superbon
