membre;categorie_membre;affilie_a;siren_affiliation;date_fin
CHAMBRE D AGRICULTURE DE LA MOSELLE;Chambre consulaire;AMBITION GRAND EST ELEVAGE EUROPE;888832490;
COORDINATION RURALE - UNION NATIONALE;Organisation syndicale et professionnelle;ASS NATIONALE INTERPROFESSIONNEL CAPRINE;409702545;
CID COMIT INTERPROFES LA DINDE;Association;ASS PROMOTION VOLAILLE FRANCAISE;479907388;
COM INTERPROFESSIONEL CANARD A ROTIR;Association;ASS PROMOTION VOLAILLE FRANCAISE;479907388;
COMITE INTERPROFESSIONNEL POULET;Association;ASS PROMOTION VOLAILLE FRANCAISE;479907388;
SODIAAL UNION;Coopérative agricole;ASSOC LAITIERE FRANCAISE;302964945;
SYND NAL INDUSTRIE NUTRITION ANIMALE;Organisation syndicale et professionnelle;ASSOCIATION ANVOL;434205555;
SYND NATIONAL LABELS AVICOLES FRANC;Fédération professionnelle;ASSOCIATION EUROPEENNE DE VOLAILLES RURALES;512584921;
CONFED PROD INDUSTR ROQUEFORT;Organisation syndicale et professionnelle;ASSOCIATION FRANCE BREBIS LAITIERE;879309805;
CHAMBRE DEP AGRICULTURE DE LA GUADELOUPE;Chambre consulaire;CAP'VIANDE;433065463;
ASS  F N P L;Organisation syndicale et professionnelle;CENTRE NAT INTERPRO ECONOMIE LAITIERE;300817954;
CONFEDERATION PAYSANNE;Organisation syndicale et professionnelle;CENTRE NAT INTERPRO ECONOMIE LAITIERE;300817954;
COORDINATION RURALE - UNION NATIONALE;Organisation syndicale et professionnelle;CENTRE NAT INTERPRO ECONOMIE LAITIERE;300817954;
FEDERATION DES FROMAGERS DE FRANCE;Organisation syndicale et professionnelle;CENTRE NAT INTERPRO ECONOMIE LAITIERE;300817954;
FEDERATION ENTREP COMMERCE DISTRIBUTION;Organisation syndicale et professionnelle;CENTRE NAT INTERPRO ECONOMIE LAITIERE;300817954;
SODIAAL UNION;Coopérative agricole;CENTRE NAT INTERPRO ECONOMIE LAITIERE;300817954;
COORDINATION RURALE - UNION NATIONALE;Organisation syndicale et professionnelle;CIFOG;412222044;
EURALIS COOP;Coopérative agricole;CIFOG;412222044;
FEDERATION DES INDUSTRIES AVICOLES;Fédération professionnelle;COM INTERPROFESSIONEL CANARD A ROTIR;483761490;
