prestataire;categorie_prestataire;client;siren_client;statut;date_debut;date_fin
AFFAIRES PUBLIQUES CONSULTANTS;Cabinet de conseil;DANONE;552032534;actif;28-03-2025 17:28;
ALINEA, AVOCATS A LA COUR;Cabinet d'avocats;CONSEIL NATIONAL DES APPELLATIONS D'ORIGINES LAITIERES;514642578;actif;01-04-2019 11:07;
ALINEA, AVOCATS A LA COUR;Cabinet d'avocats;INTERBEV;378355929;actif;05-11-2024 16:12;
ALTERMIND;Cabinet de conseil;DANONE;552032534;actif;23-01-2018 11:16;
ALTERMIND UK LIMITED;Cabinet de conseil;DANONE PRODUITS FRAIS FRANCE;672039971;actif;12-03-2018 17:40;
AMBO CONSEIL;Travailleur indépendant;DANONE PRODUITS FRAIS FRANCE;672039971;actif;30-11-2022 22:14;
AMERICAIN CHAMBER OF COMMERC;Association;DANONE;552032534;actif;19-02-2024 15:28;
ANTHENOR PUBLIC AFFAIRS;Cabinet de conseil;DANONE;552032534;actif;24-02-2026 10:33;
ANTHENOR PUBLIC AFFAIRS;Cabinet de conseil;FED FSE IND CHARCUTERIE TRAIT TRANS VIAN;784357725;actif;24-02-2026 11:23;
APCO WORLDWIDE;Cabinet de conseil;CENTRE NAT INTERPRO ECONOMIE LAITIERE;300817954;actif;23-04-2018 10:59;
ARTCHER;Cabinet de conseil;ASSOCIATION D'ORGANISATION DE PRODUCTEURS PORC GRAND OUEST;903511228;actif;01-04-2025 11:20;
ARTCHER;Cabinet de conseil;UNION GROUP PROD VIANDE BRETAGNE;313915597;actif;06-12-2021 13:00;
ASS FEDERATION EXP VINS SPIRITUEUX FCE;Organisation syndicale et professionnelle;LES VINS GEORGES DUBOEUF;686450248;actif;30-03-2019 14:30;
ASS NATIONALE IND. AGRO ALIMENTAIRES;Association;FED FSE IND CHARCUTERIE TRAIT TRANS VIAN;784357725;actif;19-01-2018 10:56;
ASS NATIONALE IND. AGRO ALIMENTAIRES;Association;FEDER NATIONAL INDUST LAITIERE;784357741;actif;26-01-2018 16:30;
ASS NATIONALE IND. AGRO ALIMENTAIRES;Association;SYNDICAT NATIONAL DES INDUSTIELS ET PROFESSIONNEL DES OEUFS;433078987;actif;18-03-2022 13:41;
ASSOCIATION POUR LE DEVELOPPEMENT ECONOMIQUE DES DEPARTEMENTS D'OUTRE MER DANS LA CEE EURODOM;Association;ASS MARTI INTER VIANDE BETAIL;332701879;actif;12-10-2017 09:06;
ASSOCIATION POUR LE DEVELOPPEMENT ECONOMIQUE DES DEPARTEMENTS D'OUTRE MER DANS LA CEE EURODOM;Association;ASS REUNION INTERPROFESS BETAIL VIANDES;316344837;actif;12-10-2017 09:06;
ASSOCIATION POUR LE DEVELOPPEMENT ECONOMIQUE DES DEPARTEMENTS D'OUTRE MER DANS LA CEE EURODOM;Association;SICA LAIT;313553018;actif;12-10-2017 09:06;
BACKBONE CONSULTING;Cabinet de conseil;FOIE GRAS GOURMET;852081645;actif;25-03-2022 12:07;
BOUVIALA AMELIE ODETTE JANINE;Cabinet d'avocats;CONSEIL NATIONAL DES APPELLATIONS D'ORIGINES LAITIERES;514642578;actif;01-04-2019 11:08;
BOUVIALA AMELIE ODETTE JANINE;Cabinet d'avocats;INTERBEV;378355929;actif;17-04-2023 08:57;
BOUVIALA AMELIE ODETTE JANINE;Cabinet d'avocats;UNION DES PRODUCTEURS DE LAIT DU BASSIN PARISIEN;841380397;actif;31-03-2025 14:17;
CALIF SOLUTIONS;Cabinet de conseil;DANONE PRODUITS FRAIS FRANCE;672039971;actif;07-04-2023 18:03;
CALIF SOLUTIONS;Cabinet de conseil;INTERBEV;378355929;actif;05-01-2024 12:55;
CAP !;Cabinet de conseil;CONFEDERATION NATIONALE DE L ELEVAGE;378479877;actif;10-04-2018 11:48;
CAP !;Cabinet de conseil;INTERBEV;378355929;actif;10-04-2018 11:48;
CID COMIT INTERPROFES LA DINDE;Association;ASSOCIATION DES ORGANISATIONS DE PRODUCTION DE VOLAILLES (AOPV);W751226599;actif;27-12-2017 11:38;
CID COMIT INTERPROFES LA DINDE;Association;COMITE NATIONAL DES ABATTOIRS ET DECOUPE;777327289;actif;27-12-2017 11:38;
