id_hatvp;denomination;sigle;categorie;siren_ou_rna;ville;site_web;twitter;linkedin;dernier_exercice;depense_min_eur;depense_max_eur;salaries_lobbying;nb_activites;cesse
3944;ASS  F N P L;FNPL;Organisation syndicale et professionnelle;428435176;PARIS;http://www.fnpl.fr;https://twitter.com/FNPLait?lang=fr;;2025;0;10000.0;1.0;7;
1406;ASS NATIONALE INTERPROFESSIONNEL CAPRINE;;Association;409702545;PARIS CEDEX 09;https://anicap.org/;https://twitter.com/anicapfr;https://www.linkedin.com/in/anicap-interprofession-46295a254/;2026;0;0.0;;0;
2578;CENTRE NAT INTERPRO ECONOMIE LAITIERE;CNIEL;Organisation syndicale et professionnelle;300817954;PARIS;http://www.cniel.com;https://twitter.com/cniel;https://www.linkedin.com/company/cniel/;2025;400000;500000.0;3.0;20;
3167;CIFOG;;Association;412222044;PARIS;https://lefoiegras.fr/;https://twitter.com/blogfoiegras?lang=fr;;2025;50000;75000.0;1.0;4;
2785;COM INTERPROFESSIONEL CANARD A ROTIR;CICAR;Association;483761490;RENNES;https://www.canards.fr/;;;2025;0;10000.0;2.0;6;
3950;COMITE NATIONAL POUR PROMOTION DE L OEUF;CNOP;Organisation syndicale et professionnelle;440302610;PARIS;http://www.oeuf-info.fr;;;2025;25000;50000.0;1.0;11;
856;COMITE REGIONAL PORCIN;;Association;423376797;PLERIN;https://eleveurdeporcsbreton.bzh/comite-regional-porcin-de-bretagne;;;2025;0;10000.0;1.0;5;
233;CONFEDER NAT CHARCUTERI FRANCE;CNCT;Organisation syndicale et professionnelle;775691850;PARIS;https://www.charcutiers-traiteurs.com/;;https://fr.linkedin.com/company/cnct---les-artisans-charcutiers-traiteurs;2025;25000;50000.0;0.5;0;
3788;CONFEDERATION FRANCAISE DE LA BOUCHERIE - BOUCHERIE CHARCUTERIE - TRAITEURS;;Organisation syndicale et professionnelle;784717357;PARIS;http://www.boucherie-france.org/accueil;https://twitter.com/confboucherie;https://www.linkedin.com/company/26197206/;2025;75000;100000.0;2.0;25;
883;CONFEDERATION NATIONALE DE L ELEVAGE;;Association;378479877;PARIS;;;;2025;50000;75000.0;0.5;4;
2557;CONSEIL NATIONAL DES APPELLATIONS D'ORIGINES LAITIERES;;Association;514642578;PARIS 9;https://www.produits-laitiers-aop.fr;https://twitter.com/AOPlaitieres;https://www.linkedin.com/company/cnaol;2022;50000;75000.0;2.0;0;
465;COOPERL ARC ATLANTIQUE;;Coopérative agricole;383986874;LAMBALLE-ARMOR;https://www.cooperl.com/;;https://www.linkedin.com/company/cooperl/;2025;75000;100000.0;0.5;1;
2153;CULTURE VIANDE;;Organisation syndicale et professionnelle;892428723;PARIS 12;https://cultureviande.fr/;;;2025;50000;75000.0;1.0;10;
1404;DANONE;;Société commerciale et civile (autre que cabinet d’avocats et société de conseil);552032534;PARIS;http://www.danone.com/;;;2025;200000;300000.0;1.0;8;
2736;DANONE PRODUITS FRAIS FRANCE;;Société commerciale et civile (autre que cabinet d’avocats et société de conseil);672039971;RUEIL-MALMAISON;https://www.danone.fr/;;https://www.linkedin.com/company/danone/;2025;800000;900000.0;2.0;15;
2451;FED FSE IND CHARCUTERIE TRAIT TRANS VIAN;FICT;Fédération professionnelle;784357725;PARIS;http://www.fict.fr/;https://twitter.com/FICT_FRANCE;;2025;100000;200000.0;3.0;10;
1767;FEDER NATIONAL INDUST LAITIERE;FNIL;Fédération professionnelle;784357741;PARIS CEDEX 09;;;;2025;200000;300000.0;0.6;5;
2946;FEDERATION DEPARTEMENTALE OVINE DES ALPES-MARITIMES;FDO ALPES MARITIMES 06;Organisation syndicale et professionnelle;H978906948;NICE;;;;2025;0;10000.0;0.05;3;
2742;FEDERATION DEPARTEMENTALE OVINE DU VAUCLUSE;;Organisation syndicale et professionnelle;783204084;AVIGNON;;;;2021;25000;50000.0;1.0;0;
