page;financeur_declare;montant_eur;nb_annonces;page_id;sans_financeur_declare
CNE - Elevage de ruminants;Confédération Nationale de l’Élevage;32721;12;197905843399677;
Aimez la viande;These ads ran without a disclaimer;6830;6;385265528247758;OUI
Les 300 laitiers bio;Arnaud Baudry;6189;77;261351444496409;
Les Produits Laitiers;These ads ran without a disclaimer;4545;10;136045459769618;OUI
Elevages sans frontières;Elevages sans frontières;2212;8;804372666264599;
Sommet de l'Elevage;Sommet de l'Elevage;1850;10;93185073892;
Coopérative Sodiaal;These ads ran without a disclaimer;964;1;212511616100767;OUI
Programme EVE;Danone;453;18;437713066267363;
Alsace Lait;These ads ran without a disclaimer;300;1;153741977983913;OUI
Programme Octave;DANONE;285;14;745199745558971;
Les 300 laitiers bio;These ads ran without a disclaimer;255;13;261351444496409;OUI
La Volaille Européenne;These ads ran without a disclaimer;235;2;102869192479930;OUI
Programme Noé;DANONE;216;9;819253994790289;
Fromage Beaufort;These ads ran without a disclaimer;176;1;151324125032222;OUI
Mouvement Ecologiste Indépendant Limousin;Jean Gustave Poncharal;101;15;106313457398022;
Alternative citoyenne et républicaine Paimboeuf - Campagne municipale 2020;These ads ran without a disclaimer;≤100;4;547191432479264;OUI
Stop à l'élevage intensif près d'Aigueparse;These ads ran without a disclaimer;≤100;1;102360521360265;OUI
Sommet de l'Elevage;These ads ran without a disclaimer;≤100;1;93185073892;OUI
Interbev Pays de la Loire;These ads ran without a disclaimer;≤100;1;219585815458922;OUI
La boucherie Des Pentes;These ads ran without a disclaimer;≤100;1;371637273486460;OUI
Bretons et Engagés, pour un bœuf de qualité;These ads ran without a disclaimer;≤100;1;276815395999718;OUI
Association l'Arbre Fromager;These ads ran without a disclaimer;≤100;11;368478797200241;OUI
Le Porc Français;These ads ran without a disclaimer;≤100;1;154545975151731;OUI
Aimez la viande;INTERBEV;≤100;3;385265528247758;
LIBRE écologie Limousin;Jean Gustave Poncharal;≤100;2;107664524379701;
"Elevage des Louves de Toscane  ""Animo'Focus""";These ads ran without a disclaimer;≤100;1;490237914322298;OUI
Jean Poncharal;These ads ran without a disclaimer;≤100;2;107906802129529;OUI
Viandes de Normandie;These ads ran without a disclaimer;≤100;2;106948362202555;OUI
Le Comptoir des Viandes - Martinique;These ads ran without a disclaimer;≤100;1;307979156721914;OUI
Osez le lait en Centre-Val de Loire;These ads ran without a disclaimer;≤100;1;113509696691502;OUI
Foie Gras Thierry PARIS;These ads ran without a disclaimer;≤100;2;352148178455319;OUI
Castel et Fromaget;These ads ran without a disclaimer;≤100;1;1260404737377071;OUI
Fromage Abondance;These ads ran without a disclaimer;≤100;2;765956280120836;OUI
Le boeuf, c'est si bon;These ads ran without a disclaimer;≤100;2;109531948872277;OUI
La Viande d’Auvergne-Rhône-Alpes;These ads ran without a disclaimer;≤100;1;143657795699315;OUI
Viande de Volaille Durable;These ads ran without a disclaimer;≤100;1;117535131328413;OUI
Plein Lait Yeux Isère;These ads ran without a disclaimer;≤100;1;109880738138256;OUI
Boucherie Terroir ET Traditions;These ads ran without a disclaimer;≤100;1;1707751065908917;OUI
Perle de Lait;These ads ran without a disclaimer;≤100;2;104836137574200;OUI
