annonceur,occurrences,chaines_distinctes,plus_grosse_audience,exemple_video,deja_connu
Air up,20,8,20200000,https://www.youtube.com/watch?v=CQau_FmoyWE,non
tous ceux,19,8,11200000,https://www.youtube.com/watch?v=2e1wyYplkmc,non
toutes les personnes,16,8,11000000,https://www.youtube.com/watch?v=UOEm9sPsGBk,non
Saily,18,7,20200000,https://www.youtube.com/watch?v=vRAPfDSmBGM,non
NordVPN,14,7,20200000,https://www.youtube.com/watch?v=Fb1Z3cMAlrc,non
Ultra Premium Direct,11,7,20200000,https://www.youtube.com/watch?v=Z0TY0lI5Ci0,non
Rhinoshield,10,5,20200000,https://www.youtube.com/watch?v=lQ53145a3cY,non
https,46,4,2040000,https://www.youtube.com/watch?v=M-iuEKeiFZY,non
happn,7,4,20200000,https://www.youtube.com/watch?v=HdjS1tAWsXw,non
Epic Games,5,4,3140000,https://www.youtube.com/watch?v=mxULBjEsrms,non
IGraal,4,4,20200000,https://www.youtube.com/watch?v=K1_LQEuw0L4,non
Revolut,8,3,20200000,https://www.youtube.com/watch?v=49Dy0nvs7Lw,non
Vinted,5,3,11000000,https://www.youtube.com/watch?v=1abXeaT1g0o,non
Michou,5,3,9470000,https://www.youtube.com/watch?v=ZCM-eMOJXiU,non
Adrien,5,3,734000,https://www.youtube.com/watch?v=vt-Fsnsvt6o,non
tous les participants,4,3,11200000,https://www.youtube.com/watch?v=ftPTxpxfCao,non
BoursoBank,3,3,20200000,https://www.youtube.com/watch?v=hPo9DLCMofI,non
FRUITZ,3,3,20200000,https://www.youtube.com/watch?v=VeBmwUr-HH0,non
toute l'équipe,3,3,11200000,https://www.youtube.com/watch?v=pBaN7t-cnzQ,non
SQUEEZIE,3,3,11200000,https://www.youtube.com/watch?v=EZcJEvXmjfY,non
équipes,3,3,9470000,https://www.youtube.com/watch?v=FAd8SD3W3zg,non
Hello Fresh,3,3,3140000,https://www.youtube.com/watch?v=0xR-LXbePTQ,non
Clément,21,2,2040000,https://www.youtube.com/watch?v=ZKwz_O2BfYA,non
Arthur,11,2,330000,https://www.youtube.com/watch?v=DXQ08PQ36b4,non
artistes,8,2,399000,https://www.youtube.com/watch?v=AGROJvYRTXg,non
Netflix,6,2,11200000,https://www.youtube.com/watch?v=Qv2Iffqz65c,non
Gautier conception,5,2,1390000,https://www.youtube.com/watch?v=L_LITek5Vj8,non
nos partenaires,5,2,122000,https://www.youtube.com/watch?v=tU4ZqKSdiV0,non
Natoo,4,2,11200000,https://www.youtube.com/watch?v=1T31PJFxXes,non
Revolut et la collaboration,4,2,9470000,https://www.youtube.com/watch?v=3WN-uaAryhw,non
Capri Sun,4,2,4620000,https://www.youtube.com/watch?v=fQqVeL0apYk,non
l'office du tourisme de,4,2,1560000,https://www.youtube.com/watch?v=971LXh9kzJ0,non
Odoo,3,2,20200000,https://www.youtube.com/watch?v=RG6DsvgW84o,non
David,3,2,11200000,https://www.youtube.com/watch?v=6foH3MFNGjc,non
l'Agence de la biomédecine,3,2,11000000,https://www.youtube.com/watch?v=3krEYYmuLqs,non
Geronimo Beats,3,2,6540000,https://www.youtube.com/watch?v=tqhEzFrkP-0,non
la Poste,3,2,5850000,https://www.youtube.com/watch?v=P5HLo7CRS7Y,non
Crunchyroll,3,2,3140000,https://www.youtube.com/watch?v=1adYYPsvzf4,non
Luxeol,3,2,2040000,https://www.youtube.com/watch?v=TDYDJc1_HoE,non
typology,3,2,1560000,https://www.youtube.com/watch?v=e1BXY9Dlh-8,non
Gautier,3,2,1390000,https://www.youtube.com/watch?v=SedhMS9eFFs,non
PokerStars,3,2,1030000,https://www.youtube.com/watch?v=TmlNhnYEapY,non
toutes les équipes de,3,2,122000,https://www.youtube.com/watch?v=6UJxTVljkg8,non
tous nos collaborateurs,3,2,5080,https://www.youtube.com/watch?v=hKtsxtPNWKE,non
Qonto,2,2,20200000,https://www.youtube.com/watch?v=IVi1fd_LqOk,non
toutes les équipes,2,2,20200000,https://www.youtube.com/watch?v=ZLZcox7Pae4,non
Inoxtag,2,2,20200000,https://www.youtube.com/watch?v=fiqxEb_URX0,non
Gotaga,2,2,20200000,https://www.youtube.com/watch?v=vUqwSRDN_Do,non
toutes et à tous,2,2,11200000,https://www.youtube.com/watch?v=82HxG1amdxI,non
Bethesda,2,2,11200000,https://www.youtube.com/watch?v=qLkZDD3tvEs,non
mes potos,2,2,11200000,https://www.youtube.com/watch?v=QxEcDSYjgF8,non
Stych,2,2,11000000,https://www.youtube.com/watch?v=XBz_7uInGXA,non
Lebouseuh,2,2,11000000,https://www.youtube.com/watch?v=XBz_7uInGXA,non
Doigby,2,2,11000000,https://www.youtube.com/watch?v=7zIzxE-l0Io,non
Orange,2,2,9470000,https://www.youtube.com/watch?v=CVMeLYKPVfE,non
Vincent,2,2,9470000,https://www.youtube.com/watch?v=tnykCiOUthc,non
la prod,2,2,9470000,https://www.youtube.com/watch?v=k44QFOrNODU,non
Wethenew,2,2,9470000,https://www.youtube.com/watch?v=I1qF38ue1sc,non
Holy,2,2,6540000,https://www.youtube.com/watch?v=YnX8wzQgfDk,non
Maxenss,2,2,5850000,https://www.youtube.com/watch?v=iVtN0Kb55tQ,non
Pierre,2,2,5850000,https://www.youtube.com/watch?v=3BV6eJBqsXo,non
Garnier,2,2,5550000,https://www.youtube.com/watch?v=wy8jCLW28h4,non
l’APEC,2,2,5550000,https://www.youtube.com/watch?v=7Vlp_WNqlVc,non
Gazo,2,2,5550000,https://www.youtube.com/watch?v=aluARbPb8QQ,non
Dorian,2,2,2770000,https://www.youtube.com/watch?v=uagqLjypDWo,non
participants,2,2,1870000,https://www.youtube.com/watch?v=oErdnnRV9g0,non
Desenio,2,2,1560000,https://www.youtube.com/watch?v=PNXkgul-IlY,non
Mattel,2,2,1390000,https://www.youtube.com/watch?v=W8aAInv7Kr4,non
Renault,2,2,1280000,https://www.youtube.com/watch?v=wr26jxvmKyU,non
Amine,2,2,1060000,https://www.youtube.com/watch?v=gB-OVOcjKTw,non
Melissa,2,2,734000,https://www.youtube.com/watch?v=1Z7RsJrtfXM,non
Guillaume,2,2,349000,https://www.youtube.com/watch?v=IlRbRau8AOY,non
our partners,2,2,16700,https://www.youtube.com/watch?v=vNAuD-31oWg,non
Xysan,252,1,1390000,https://www.youtube.com/watch?v=rV77bHx3KAI,non
Pixyn,176,1,1390000,https://www.youtube.com/watch?v=GUDaW2-TsZk,non
