plateforme,channel_id,pseudo,titre,personne_demandee,abonnes,abonnes_caches,videos,vues_totales,pays_declare,chaine_creee_le,url,releve_le
youtube,UCWeg2Pkate69NFdBeuRFTAw,@squeezie,SQUEEZIE,Squeezie,20200000,non,1855,11959460250,FR,2011-01-09,https://www.youtube.com/channel/UCWeg2Pkate69NFdBeuRFTAw,2026-08-24
youtube,UCww2zZWg4Cf5xcRKG-ThmXQ,@normanfaitdesvideos,Norman,Norman,11200000,non,254,2773445103,,2011-01-04,https://www.youtube.com/channel/UCww2zZWg4Cf5xcRKG-ThmXQ,2026-08-24
youtube,UCo3i0nUzZjjLuM7VjAVz4zA,@michou,Michou,Michou,11000000,non,897,3310631182,FR,2015-02-22,https://www.youtube.com/channel/UCo3i0nUzZjjLuM7VjAVz4zA,2026-08-24
youtube,UCL9aTJb0ur4sovxcppAopEw,@inoxtag,Inoxtag,Inoxtag,9470000,non,450,1436490929,FR,2015-01-12,https://www.youtube.com/channel/UCL9aTJb0ur4sovxcppAopEw,2026-08-24
youtube,UCDPK_MTu3uTUFJXRVcTJcEw,@lefatshow,Mcfly et Carlito,Mcfly et Carlito,7660000,non,1114,3176626694,FR,2012-12-19,https://www.youtube.com/channel/UCDPK_MTu3uTUFJXRVcTJcEw,2026-08-24
youtube,UC8Q0SLrZLiTj5s4qc9aad-w,@mistervofficial,Mister V,Mister V,6540000,non,48,563096083,FR,2008-11-20,https://www.youtube.com/channel/UC8Q0SLrZLiTj5s4qc9aad-w,2026-08-24
youtube,UCK3inMNRNAVUleEbpDU1k2g,@sebfrit,SEB,SEBFRIT,5850000,non,210,827743402,FR,2011-11-25,https://www.youtube.com/channel/UCK3inMNRNAVUleEbpDU1k2g,2026-08-24
youtube,UCOdKaYgvLlPuinUJ1z5Gm2g,@michouoff,MichouOff,Michou,5550000,non,1359,2018949106,FR,2018-04-22,https://www.youtube.com/channel/UCOdKaYgvLlPuinUJ1z5Gm2g,2026-08-24
youtube,UCY-_QmcW09PHAImgVnKxU2g,@squeeziegaming,SQUEEZIE GAMING,Squeezie,5100000,non,1857,2873295690,FR,2018-09-10,https://www.youtube.com/channel/UCY-_QmcW09PHAImgVnKxU2g,2026-08-24
youtube,UCUl7mwOyySfZzUkq4H29nug,@lebouseuh,LeBouseuh,LeBouseuh,4620000,non,1764,1362745398,FR,2015-10-01,https://www.youtube.com/channel/UCUl7mwOyySfZzUkq4H29nug,2026-08-24
youtube,UCNGq4mP3Ds5OUGjPo8IJOcw,@valouzz_,Valouzz,Valouzz,3280000,non,1398,1170377206,FR,2015-04-14,https://www.youtube.com/channel/UCNGq4mP3Ds5OUGjPo8IJOcw,2026-08-24
youtube,UCo6Z9cEI8Hf3nyrLUfDITtA,@inoxtag2.0,Inoxtag 2.0,Inoxtag,3140000,non,266,380087028,FR,2020-01-11,https://www.youtube.com/channel/UCo6Z9cEI8Hf3nyrLUfDITtA,2026-08-24
youtube,UCZjZZc4lE_pPEKvAjKQhQbg,@domingolegal,Domingo Legal,Domingo,2220000,non,2961,561410526,BR,2014-04-08,https://www.youtube.com/channel/UCZjZZc4lE_pPEKvAjKQhQbg,2026-08-24
youtube,UCGbkLk615v-fh5Qgc6b-TVQ,@mistervofficialmusic,Mister V Music,Mister V,1870000,non,24,262827532,FR,2013-10-25,https://www.youtube.com/channel/UCGbkLk615v-fh5Qgc6b-TVQ,2026-08-24
