pseudo,contenus_commerciaux_tiktok,labels_tiktok,premiere_date,derniere_date,autre_plateforme,identifiant_registre,nom_affiche,audience_autre_plateforme,lien_avec_la_filiere,entites_liees,priorite_vincent,rattachement,releve_le
justezoe,16,Paid Partnership,20230626,20260703,youtube,UCLPSWyuMGlNMM1RK_2EFuIA,Juste Zoé,1560000,derive d'un compte Instagram suivi par une vitrine (rattachement HYPOTHESE),CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
doigby_,1,Paid Partnership,20251117,20251117,youtube,UCen9TDD6K1ZVW44unAGxtOw,Doigby,1390000,derive d'un compte Instagram suivi par une vitrine (rattachement HYPOTHESE),CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
zacknani,1,Paid Partnership,20251218,20251218,youtube,UCSJxne19pJyW7l7HjHM-LRg,ZACK,974000,,,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
florianonair,3,Paid Partnership,20250317,20260422,youtube,UCkGpd4_4UAn53ZXcUf1JyFA,FlorianOnAir,734000,derive d'un compte Instagram suivi par une vitrine (rattachement HYPOTHESE),INTERBEV,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
dobbyelfe_,1,Paid Partnership,20251024,20251024,youtube,UCHOsAeV69QGK3CPl137JLdQ,Dobby,667000,derive d'un compte Instagram suivi par une vitrine (rattachement HYPOTHESE),CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
whoogys,2,Paid Partnership,20221021,20260529,youtube,UCcVyMRkpb9IF1BLT3f4gRcw,Whoogy ́s,390000,derive d'un compte Instagram suivi par une vitrine (rattachement HYPOTHESE),INAPORC,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
thewingzer,5,Paid Partnership,20240403,20260730,youtube,UCXcyzeieJ2BUHbwjrmT2LeA,The Wingzer,293000,derive d'un compte Instagram suivi par une vitrine (rattachement HYPOTHESE),CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
mimabycami,4,Paid Partnership,20230330,20241112,youtube,UCaf42LbPsOAxj-Gnllam3Kw,MiMa by Cami,264000,derive d'un compte Instagram suivi par une vitrine (rattachement HYPOTHESE),CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
minireyve,1,Paid Partnership,20250617,20250617,instagram,minireyve,,193000,arbitre par Vincent,CNIEL,priorite haute,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
cuisineaz,4,Paid Partnership,20260601,20260722,youtube,UC8AdLDn2gJf2sam4HJXGX3g,CuisineAZ.com,156000,derive d'un compte Instagram suivi par une vitrine (rattachement HYPOTHESE),ANVOL | INTERBEV,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
leparisdalexis,5,Paid Partnership,20240623,20250115,youtube,UCDErgMXtCUQV6LoyLZaVaJg,Le Paris d'Alexis,71100,derive d'un compte Instagram suivi par une vitrine (rattachement HYPOTHESE),INAPORC,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
pazapah,3,Paid Partnership,20231027,20260605,youtube,UCQEuWbHR5Rjrux7XCX9-nww,Pazapah,25100,derive d'un compte Instagram suivi par une vitrine (rattachement HYPOTHESE),INAPORC,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
pounsi_time,4,Paid Partnership,20260107,20260415,youtube,UCs5h0XGRYPshfl2NVpBCInA,PounsiTime,3530,derive d'un compte Instagram suivi par une vitrine (rattachement HYPOTHESE),CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
djaysonkaravane,1,Paid Partnership,20231030,20231030,youtube,UCTYYjY_7mzG6z-6uzd14g3g,Djaysonkaravane,3440,derive d'un compte Instagram suivi par une vitrine (rattachement HYPOTHESE),INAPORC,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
lapannyyy,1,Paid Partnership,20260731,20260731,youtube,UCo6w322UD4QfPUTxBsb3NSw,LaPanny,385,derive d'un compte Instagram suivi par une vitrine (rattachement HYPOTHESE),CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
justezoe,16,Paid Partnership,20230626,20260703,instagram,justezoe,Zoé Tondut 🫐,,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
rorocuistot,14,Paid Partnership,20230207,20260711,instagram,roro_cuistot,Roro 👩🏼‍🍳,,suivi par une vitrine,INTERBEV,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
totocuistot,13,Paid Partnership,20230112,20260610,instagram,totocuistot_,Tom Fauconnet,,suivi par une vitrine,INAPORC,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
herta_france,13,Promotional Content,20240923,20241104,instagram,herta_france,Herta,,suivi par une vitrine,INAPORC,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
louloukitchen_,7,Paid Partnership,20241126,20260430,instagram,louloukitchen_,Lou Elsener,,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
thewingzer,5,Paid Partnership,20240403,20260730,instagram,thewingzer,The Wingzer (Yanis),,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
leparisdalexis,5,Paid Partnership,20240623,20250115,instagram,leparisdalexis,Alexis Thiebaut,,suivi par une vitrine,INAPORC,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
mimabycami,4,Paid Partnership,20230330,20241112,instagram,mimabycami,Camélia EB ☀️,,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
pounsi_time,4,Paid Partnership,20260107,20260415,instagram,pounsitime,,,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
cuisineaz,4,Paid Partnership,20260601,20260722,instagram,cuisineaz,CuisineAZ,,suivi par une vitrine,ANVOL | INTERBEV,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
fitclaire,4,Paid Partnership,20231121,20260610,instagram,fitclaire,Travel & Food | CLAIRE,,suivi par une vitrine,INAPORC,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
marmiton_org,4,Paid Partnership,20230904,20250505,instagram,marmiton_org,Marmiton,,suivi par une vitrine,ANVOL | INAPORC,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
pazapah,3,Paid Partnership,20231027,20260605,instagram,pazapah,Aure et Killian,,suivi par une vitrine,INAPORC,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
chef_theo_lignani,3,Paid Partnership,20250402,20260518,instagram,chef_theo_lignani,Theo Lignani,,suivi par une vitrine,INAPORC | INTERBEV,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
florianonair,3,Paid Partnership,20250317,20260422,instagram,florianonair,Florian OnAir,,suivi par une vitrine,INAPORC | INTERBEV,priorite haute,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
florianonair,3,Paid Partnership,20250317,20260422,indeterminee,florianonair,,,publie par le site du lobby,INAPORC,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
gartin591,2,Paid Partnership,20251217,20260624,instagram,gartin.591,Théo Phulpin,,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
redouane_bougheraba,2,Paid Partnership,20230224,20250326,instagram,redouanebougheraba,Redouane Bougheraba,,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
takethepowerjuly,2,Paid Partnership,20260611,20260727,instagram,takethepower_july,Julie Tournier,,suivi par une vitrine,ANVOL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
whoogys,2,Paid Partnership,20221021,20260529,instagram,whoogys,WHOOGY’S,,suivi par une vitrine,INAPORC,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
fahd.el,2,Paid Partnership,20241018,20241127,instagram,fahd.el,Fahd EL,,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
netflixfr,2,Promotional Content,20241225,20241225,instagram,netflixfr,Netflix France,,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
maxallix13,1,Paid Partnership,20260611,20260611,instagram,maxallix13,Maximilien Allix,,suivi par une vitrine,INAPORC,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
foooodiiizz,1,Paid Partnership,20250623,20250623,instagram,foooodiiizz,Eva,,suivi par une vitrine,ANVOL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
djaysonkaravane,1,Paid Partnership,20231030,20231030,instagram,djaysonkaravane,Diego Sarthou,,suivi par une vitrine,INAPORC,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
lapannyyy,1,Paid Partnership,20260731,20260731,instagram,lapannyyy,Fanny,,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
minireyve,1,Paid Partnership,20250617,20250617,indeterminee,minireyve,,,publie par le site du lobby,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
ina.fr,1,Paid Partnership,20250130,20250130,instagram,ina.fr,INA.fr,,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
zacknani,1,Paid Partnership,20251218,20251218,instagram,zack_nani,Zack,,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
doigby_,1,Paid Partnership,20251117,20251117,instagram,doigby,Doigby,,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
redhajr,1,Paid Partnership,20230120,20230120,instagram,redha.jr,Redha Jr,,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
dobbyelfe_,1,Paid Partnership,20251024,20251024,instagram,dobbyelfe_,DobbyElfe,,suivi par une vitrine,CNIEL,,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-25
