pseudo_commun,contenus_commerciaux_tiktok,labels_tiktok,channel_id,titre_youtube,pseudo_youtube,abonnes_youtube,videos,pays_declare,url,rattachement,releve_le
davidguetta,4,Paid Partnership,UC1l7wYrva1qCH-wgqcHaaRg,David Guetta,@davidguetta,27900000,1110,US,https://www.youtube.com/channel/UC1l7wYrva1qCH-wgqcHaaRg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
andr3w_wave,1,Paid Partnership,UCcTNZCkgOrBE_YeATCQ1LsQ,andrew_wave,@andr3w_wave,11600000,3262,LV,https://www.youtube.com/channel/UCcTNZCkgOrBE_YeATCQ1LsQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
neymarjr,1,Paid Partnership,UC5da8mf7_m2eLIlq-GUyxRw,Neymar Jr,@neymarjr,9070000,472,BR,https://www.youtube.com/channel/UC5da8mf7_m2eLIlq-GUyxRw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
fastgoodcuisine,1,Paid Partnership,UCKq9JxyISqBHDd-fXfV3QtQ,FastGoodCuisine,@fastgoodcuisine,8770000,1104,FR,https://www.youtube.com/channel/UCKq9JxyISqBHDd-fXfV3QtQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
tonyczh,2,Paid Partnership,UCw_st7odFrm8ZJCpsfEZuYQ,Tonyczh,@tonyczh,7550000,2420,,https://www.youtube.com/channel/UCw_st7odFrm8ZJCpsfEZuYQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
nicocaponecomedy,9,Paid Partnership,UCgrdZm9Nx3rCj8WenIoSIqw,Nicocapone,@nicocaponecomedy,6370000,1249,CH,https://www.youtube.com/channel/UCgrdZm9Nx3rCj8WenIoSIqw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
victordemartrin,8,Paid Partnership,UC995AyG92eh2LDaedXje8mQ,Victor de Martrin,@victordemartrin,4860000,129,,https://www.youtube.com/channel/UC995AyG92eh2LDaedXje8mQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
latelierderoxane,1,Paid Partnership,UC3rxwrZSiTp6Kk2RXcyHtCA,L'atelier de Roxane,@latelierderoxane,4520000,1548,FR,https://www.youtube.com/channel/UC3rxwrZSiTp6Kk2RXcyHtCA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
gotaga,2,Paid Partnership,UCCFqUJYKT97UerMmb6DM0bw,GOTAGA,@gotaga,4430000,2379,FR,https://www.youtube.com/channel/UCCFqUJYKT97UerMmb6DM0bw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
gregguillotin,2,Paid Partnership,UCM1c1okZ-7cPV7BEZ-pzUGg,Greg Guillotin,@gregguillotin,4410000,160,FR,https://www.youtube.com/channel/UCM1c1okZ-7cPV7BEZ-pzUGg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
dior,17,Paid Partnership,UC6xD-jKli-_qIYXDTsNv4dw,Christian Dior,@dior,4200000,1972,FR,https://www.youtube.com/channel/UC6xD-jKli-_qIYXDTsNv4dw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
