lobby_institutionnel,vitrine,alias_observe,contenu_url,date_publication,nombre_de_vues,statut_collaboration,nom_influenceur,plateforme,alias_influenceur,nombre_abonnes,type_de_createur,canal_de_detection,degre_de_certitude,verifie_par_humain,titre_du_contenu
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=q_UVezoLzaQ,2022-05-08,,ancien,Michou,YouTube,,,,description du createur,lien commercial soupconne,non,ÉNORME MATCH DE HOCKEY SUR GLACE ENTRE YOUTUBEURS et STREAMEURS ! (ptdrrr on sait pas patiner)
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=gP5Ww9PpmKU,2024-09-20,,ancien,Inoxtag,YouTube,@inoxtag,5.8M,createur de contenu,description du createur,lien commercial soupconne,oui,On répond à vos question sur KAIZEN ! (Ft. Mathis)
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=wrFsapf0Enk,2024-09-14,,ancien,Inoxtag,YouTube,@inoxtag,5.8M,createur de contenu,description du createur,lien commercial soupconne,oui,KAIZEN: 1 an pour gravir l'Everest !
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=qUmIq8vPP4Y,2022-08-13,,ancien,Inoxtag,YouTube,@inoxtag,5.8M,createur de contenu,description du createur,lien commercial soupconne,oui,24h à la ferme ! (C’était incroyable)
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=GisPhmsJbFM,2020-08-15,,ancien,Inoxtag,YouTube,@inoxtag,5.8M,createur de contenu,description du createur,lien commercial soupconne,oui,Qui sont les meilleurs Croûtons ? (Compétition d'activités dans la villa en Corse)
CNIEL,CNIEL,@lesproduitslaitiers | Marie,https://www.youtube.com/watch?v=cwxOXJeZ5sk,2022-12-11,,ancien,Mister V,YouTube,@mistervofficial,,createur de contenu (youtubeur,description du createur,lien commercial soupconne,oui,MISTER V - LES JONES
INTERBEV,INTERBEV,"Aimez la viande | Aimez la viande, mangez-en mieux | Naturellement Flexitariens",https://www.youtube.com/watch?v=TK2KM-buw7E,2024-03-20,,ancien,Valouzz,YouTube,,,,description du createur,lien commercial soupconne,non,Je mange comme mon perso pendant 15 jours ! (dans quoi je m'embarque)
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=XgW3Nnskq8Q,2026-06-27,,recent,Inoxtag 2.0,YouTube,,,,description du createur,lien commercial soupconne,non,Dégustation dans le plus grand buffet d’Europe et je découvre ma nouvelle voiture (ft.GMK)
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=lrreuz0RLNA,2025-12-12,,recent,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS GIULIANO - NAPOLI
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=7OOEjgDQzpg,2022-10-26,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - L'AMOUR SANS SEXE - ABIDJAN
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=UYuu8qpZkxY,2022-06-20,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LA FAVELA - BRÉSIL
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=3rIlVfqlYTM,2022-05-24,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LE CARNAVAL - MARTINIQUE
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=GZVw5GK25Jk,2022-04-14,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LA SAINT-VALENTIN - ABIDJAN
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=vEXhKhbK1tg,2022-02-21,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LE BONHEUR - MBOUR SÉNÉGAL
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=Z7ycXlcN2w0,2022-01-20,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - AMITIÉ HOMME / FEMME - DAKAR
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=mdqnu5rn3ow,2021-09-24,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LES BOITES DE NUIT
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=o-A314iXmEw,2021-05-24,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LES TERRASSES - BRUXELLES
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=hSx0FwkMLsM,2021-04-11,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LOVE AND SEX - NEW YORK
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=mZL4VzHapTY,2021-03-18,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - BIKERS / COWBOYS - TEXAS
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=YykAzF8MqA4,2020-03-04,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LE CARNAVAL - RIO DE JANEIRO
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=cmq-9E5CdQg,2020-02-16,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LE DRIFT - LOS ANGELES
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=lg0IsC_8EnU,2020-02-09,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - GUADELOUPE
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=JwmmUvS78AM,2020-01-28,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - MONTRÉAL - CANADA
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=M5iLgoVSykM,2020-01-15,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - DOUBLE JOUR DE L'AN - AUCKLAND/RAROTONGA
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=s1XA1BHUX_s,2019-11-22,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LES OFF - TOUR DE FRANCE
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=SCm_UNf8xAs,2019-11-14,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - MERCI - NANTES ANGERS PARIS
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=ViL5tLYF_Xo,2019-11-04,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LA FERME - MAËL CARHAIX
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=s_Gbs-Scp-A,2019-10-31,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LA PMA - RENNES
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=cejlgIeVzQg,2019-10-28,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - INÉGALITÉS HOMMES/FEMMES - ROUEN
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=92J7_p8nvDw,2019-10-23,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LES PRODUITS LAITIERS - CAEN
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=ABbTFvW0vJo,2019-10-16,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LA FRANCE - BRUXELLES
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=7budxtYR8eo,2019-10-10,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LES SITES DE RENCONTRES - LILLE
