commanditaire,type_de_commanditaire,secteur,groupe_parent,vitrine,alias_observe,contenu_url,date_publication,nombre_de_vues,statut_collaboration,nom_influenceur,plateforme,alias_influenceur,nombre_abonnes,type_de_createur,nature_de_la_ligne,canal_de_detection,degre_de_certitude,verifie_par_humain,titre_du_contenu
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=q_UVezoLzaQ,2022-05-08,,ancien,Michou,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,ÉNORME MATCH DE HOCKEY SUR GLACE ENTRE YOUTUBEURS et STREAMEURS ! (ptdrrr on sait pas patiner)
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=gP5Ww9PpmKU,2024-09-20,,ancien,Inoxtag,YouTube,@inoxtag,5.8M,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,On répond à vos question sur KAIZEN ! (Ft. Mathis)
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=wrFsapf0Enk,2024-09-14,,ancien,Inoxtag,YouTube,@inoxtag,5.8M,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,KAIZEN: 1 an pour gravir l'Everest !
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=qUmIq8vPP4Y,2022-08-13,,ancien,Inoxtag,YouTube,@inoxtag,5.8M,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,24h à la ferme ! (C’était incroyable)
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=GisPhmsJbFM,2020-08-15,,ancien,Inoxtag,YouTube,@inoxtag,5.8M,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Qui sont les meilleurs Croûtons ? (Compétition d'activités dans la villa en Corse)
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers | Marie,https://www.youtube.com/watch?v=cwxOXJeZ5sk,2022-12-11,,ancien,Mister V,YouTube,@mistervofficial,,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,MISTER V - LES JONES
INTERBEV,interprofession,,,INTERBEV,"Aimez la viande | Aimez la viande, mangez-en mieux | Naturellement Flexitariens",https://www.youtube.com/watch?v=TK2KM-buw7E,2024-03-20,,ancien,Valouzz,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Je mange comme mon perso pendant 15 jours ! (dans quoi je m'embarque)
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=XgW3Nnskq8Q,2026-06-27,,recent,Inoxtag 2.0,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Dégustation dans le plus grand buffet d’Europe et je découvre ma nouvelle voiture (ft.GMK)
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=lrreuz0RLNA,2025-12-12,,recent,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS GIULIANO - NAPOLI
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=7OOEjgDQzpg,2022-10-26,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - L'AMOUR SANS SEXE - ABIDJAN
