recherche,ad_id,page_id,page_name,debut,fin,plateformes,texte,titres,url_apercu,releve_le
INTERBEV — la viande fr,1036205509117893,1278963911957585,Julie Brown,2026-08-03,2026-08-20,facebook | instagram | messenger,"Atteignez facilement vos objectifs physiques 💪

1️⃣ Faites un test de 2 minutes
2️⃣ Obtenez un plan de régime Keto personnalisé
3️⃣ Suivez vos progrès et gardez la motivation
4️⃣ Des résultats visibles en 2 semaines ! 😍",Commencez votre transformation maintenant !,https://www.facebook.com/ads/archive/render_ad/?id=1036205509117893&access_token=JETON_RETIRE,2026-08-27 21:33
INTERBEV — la viande fr,1071931351961735,1007216755806361,Nancy EatSmart,2026-08-03,2026-08-04,facebook | instagram | messenger,"🥳 Jour 1 - Le changement commence
💃 Jour 2 - Le métabolisme s'accélère
😇 Jour 3 - Meilleure humeur, meilleur sommeil
🤯 Jour 4 - Moins de stress, plus de confiance
💅 Jour 5 - Contrôle des fringales
🌊 Jour 6 - Des résultats visibles en 2 semaines !",Il suffit de 2 semaines pour faire la différence,https://www.facebook.com/ads/archive/render_ad/?id=1071931351961735&access_token=JETON_RETIRE,2026-08-27 21:33
INTERBEV — la viande fr,1103839735622595,1278963911957585,Julie Brown,2026-08-21,2026-08-26,facebook | instagram | messenger,"Atteignez facilement vos objectifs physiques 💪

1️⃣ Faites un test de 2 minutes
2️⃣ Obtenez un plan de régime Keto personnalisé
3️⃣ Suivez vos progrès et gardez la motivation
4️⃣ Des résultats visibles en 2 semaines ! 😍",Commencez votre transformation maintenant !,https://www.facebook.com/ads/archive/render_ad/?id=1103839735622595&access_token=JETON_RETIRE,2026-08-27 21:33
INTERBEV — la viande fr,1115023211090371,1278963911957585,Julie Brown,2026-08-25,,facebook | instagram | messenger,"Atteignez facilement vos objectifs physiques 💪

1️⃣ Faites un test de 2 minutes
2️⃣ Obtenez un plan de régime Keto personnalisé
3️⃣ Suivez vos progrès et gardez la motivation
4️⃣ Des résultats visibles en 2 semaines ! 😍",Commencez votre transformation maintenant !,https://www.facebook.com/ads/archive/render_ad/?id=1115023211090371&access_token=JETON_RETIRE,2026-08-27 21:33
INTERBEV — la viande fr,1352269523538284,1007216755806361,Nancy EatSmart,2026-07-28,2026-08-04,facebook | instagram | messenger,"🥳 Jour 1 - Le changement commence
💃 Jour 2 - Le métabolisme s'accélère
😇 Jour 3 - Meilleure humeur, meilleur sommeil
🤯 Jour 4 - Moins de stress, plus de confiance
💅 Jour 5 - Contrôle des fringales
🌊 Jour 6 - Des résultats visibles en 2 semaines !",Il suffit de 2 semaines pour faire la différence,https://www.facebook.com/ads/archive/render_ad/?id=1352269523538284&access_token=JETON_RETIRE,2026-08-27 21:33
INTERBEV — la viande fr,1683212639462135,1247050271816611,Erica Wild Nutritionist,2026-08-03,2026-08-24,facebook | instagram | messenger,"Atteignez facilement vos objectifs physiques 💪

1️⃣ Faites un test de 2 minutes
2️⃣ Obtenez un plan de régime Keto personnalisé
3️⃣ Suivez vos progrès et gardez la motivation
4️⃣ Des résultats visibles en 2 semaines ! 😍",Commencez votre transformation maintenant !,https://www.facebook.com/ads/archive/render_ad/?id=1683212639462135&access_token=JETON_RETIRE,2026-08-27 21:33
INTERBEV — la viande fr,1730313648297307,1278963911957585,Julie Brown,2026-08-14,2026-08-19,facebook | instagram | messenger,"Atteignez facilement vos objectifs physiques 💪

1️⃣ Faites un test de 2 minutes
2️⃣ Obtenez un plan de régime Keto personnalisé
3️⃣ Suivez vos progrès et gardez la motivation
4️⃣ Des résultats visibles en 2 semaines ! 😍",Commencez votre transformation maintenant !,https://www.facebook.com/ads/archive/render_ad/?id=1730313648297307&access_token=JETON_RETIRE,2026-08-27 21:33
INTERBEV — la viande fr,1750432669381596,1007216755806361,Nancy EatSmart,2026-08-26,,facebook | instagram | messenger,"🥳 Jour 1 - Le changement commence
💃 Jour 2 - Le métabolisme s'accélère
😇 Jour 3 - Meilleure humeur, meilleur sommeil
🤯 Jour 4 - Moins de stress, plus de confiance
💅 Jour 5 - Contrôle des fringales
🌊 Jour 6 - Des résultats visibles en 2 semaines !",Il suffit de 2 semaines pour faire la différence,https://www.facebook.com/ads/archive/render_ad/?id=1750432669381596&access_token=JETON_RETIRE,2026-08-27 21:33
INTERBEV — la viande fr,1769239657432183,1278963911957585,Julie Brown,2026-08-11,2026-08-26,facebook | instagram | messenger,"Atteignez facilement vos objectifs physiques 💪

1️⃣ Faites un test de 2 minutes
2️⃣ Obtenez un plan de régime Keto personnalisé
3️⃣ Suivez vos progrès et gardez la motivation
4️⃣ Des résultats visibles en 2 semaines ! 😍",Commencez votre transformation maintenant !,https://www.facebook.com/ads/archive/render_ad/?id=1769239657432183&access_token=JETON_RETIRE,2026-08-27 21:33
INTERBEV — la viande fr,1829106664917207,1007216755806361,Nancy EatSmart,2026-08-25,,facebook | instagram | messenger,"🥳 Jour 1 - Le changement commence
💃 Jour 2 - Le métabolisme s'accélère
😇 Jour 3 - Meilleure humeur, meilleur sommeil
🤯 Jour 4 - Moins de stress, plus de confiance
💅 Jour 5 - Contrôle des fringales
🌊 Jour 6 - Des résultats visibles en 2 semaines !",Il suffit de 2 semaines pour faire la différence,https://www.facebook.com/ads/archive/render_ad/?id=1829106664917207&access_token=JETON_RETIRE,2026-08-27 21:33
INTERBEV — la viande fr,2067461397233227,1007216755806361,Nancy EatSmart,2026-08-13,2026-08-16,facebook | instagram | messenger,"🥳 Jour 1 - Le changement commence
💃 Jour 2 - Le métabolisme s'accélère
😇 Jour 3 - Meilleure humeur, meilleur sommeil
🤯 Jour 4 - Moins de stress, plus de confiance
💅 Jour 5 - Contrôle des fringales
🌊 Jour 6 - Des résultats visibles en 2 semaines !",Il suffit de 2 semaines pour faire la différence,https://www.facebook.com/ads/archive/render_ad/?id=2067461397233227&access_token=JETON_RETIRE,2026-08-27 21:33
INTERBEV — la viande fr,2168802523984142,1007216755806361,Nancy EatSmart,2026-07-27,2026-07-29,facebook | instagram | messenger,"🥳 Jour 1 - Le changement commence
💃 Jour 2 - Le métabolisme s'accélère
😇 Jour 3 - Meilleure humeur, meilleur sommeil
🤯 Jour 4 - Moins de stress, plus de confiance
💅 Jour 5 - Contrôle des fringales
🌊 Jour 6 - Des résultats visibles en 2 semaines !",Il suffit de 2 semaines pour faire la différence,https://www.facebook.com/ads/archive/render_ad/?id=2168802523984142&access_token=JETON_RETIRE,2026-08-27 21:33
INTERBEV — la viande fr,2920986821616705,1278963911957585,Julie Brown,2026-08-26,,facebook | instagram | messenger,"Atteignez facilement vos objectifs physiques 💪

1️⃣ Faites un test de 2 minutes
2️⃣ Obtenez un plan de régime Keto personnalisé
3️⃣ Suivez vos progrès et gardez la motivation
4️⃣ Des résultats visibles en 2 semaines ! 😍",Commencez votre transformation maintenant !,https://www.facebook.com/ads/archive/render_ad/?id=2920986821616705&access_token=JETON_RETIRE,2026-08-27 21:33
