entite,page_nom,page_id,ad_id,debut,fin,plateformes,texte,titres,url_apercu
INTERBEV,Naturellement Flexitariens,2251569551791113,1105541720221512,2022-03-07,2022-03-07,instagram,This content was removed because it didn't follow our Advertising Standards.,This content was removed because it didn't follow our Advertising Standards.,https://www.facebook.com/ads/archive/render_ad/?id=1105541720221512&access_token=JETON_RETIRE
INTERBEV,Naturellement Flexitariens,2251569551791113,496511844525364,2019-10-09,2019-10-20,,"""Nous sommes quasiment tous flexitariens, comme le montrent les dernières enquêtes du CREDOC, organisme de référence, qui analyse nos modes de consommation.""  
Jean-Louis Peyraud, directeur scientifique adjoint agriculture à l’INRA",Casser les idées reçues.,https://www.facebook.com/ads/archive/render_ad/?id=496511844525364&access_token=JETON_RETIRE
CNIEL,Laitflix,926009000591791,2548664262194648,2026-03-16,2026-04-16,instagram,"Avant-dernier épisode de la série « CHAUD! », et la pression monte d’un cran. Cette fois, la brigade prend ses quartiers dans une résidence senior à Villeurbanne avec la cheffe @philippinejaillet pour cuisiner 70 desserts.",,https://www.facebook.com/ads/archive/render_ad/?id=2548664262194648&access_token=JETON_RETIRE
CNIEL,Laitflix,926009000591791,937741255388033,2026-02-26,2026-04-15,instagram,C’est au tour de @jeffreycagnes de challenger la brigade CHAUD! Le chef pâtissier débarque à Saint-Etienne pour cuisiner un dessert avec les cinq élèves dans une laiterie.,,https://www.facebook.com/ads/archive/render_ad/?id=937741255388033&access_token=JETON_RETIRE
CNIEL,Laitflix,926009000591791,923406680150615,2026-02-26,2026-04-15,instagram,"Dans ce troisième épisode de la série CHAUD!, la brigade se rend à la laiterie Sainte-Colombe avec le chef @osanchaise. Le défi : decouvrir la fabrication du Saint-Marcellin puis cuisiner au milieu de la laiterie.",,https://www.facebook.com/ads/archive/render_ad/?id=923406680150615&access_token=JETON_RETIRE
CNIEL,Laitflix,926009000591791,1456257615894935,2026-02-18,2026-02-26,instagram,"Dans ce troisième épisode de la série CHAUD!, la brigade se rend à la laiterie Sainte-Colombe avec le chef @osanchaise. Le défi : decouvrir la fabrication du Saint-Marcellin puis cuisiner au milieu de la laiterie.",,https://www.facebook.com/ads/archive/render_ad/?id=1456257615894935&access_token=JETON_RETIRE
CNIEL,Laitflix,926009000591791,2328039861012418,2026-02-13,2026-04-15,instagram,"Le chef @jorickdorignac se rend sur la ferme de Bruno en Isère. Le défi : apprendre à traire les vaches puis cuisiner au milieu de la ferme un riz au lait.

L’épisode 2 de la série CHAUD! est disponible sur la chaine YouTube Les Produits Laitiers.",,https://www.facebook.com/ads/archive/render_ad/?id=2328039861012418&access_token=JETON_RETIRE
CNIEL,Laitflix,926009000591791,4441024596135081,2026-02-11,2026-02-13,instagram,"Le chef @jorickdorignac se rend sur la ferme de Bruno en Isère. Le défi : apprendre à traire les vaches puis cuisiner au milieu de la ferme un riz au lait.

L’épisode 2 de la série CHAUD! est disponible sur la chaine YouTube Les Produits Laitiers.",,https://www.facebook.com/ads/archive/render_ad/?id=4441024596135081&access_token=JETON_RETIRE
ANVOL,La Volaille Française,1620384037978108,1751482082829082,2026-08-17,,facebook | instagram | audience_network | messenger | threads,"Les tartines, c'est le déjeuner estival parfait ! ☀️ Notre version pain ciabatta croustillant, filets de canard, burrata fondante et pêches rôties devrait finir de vous convaincre 😉

Une recette qui fait tout son effet avec des accords inattendus, entre douceur fruitée et caractère du canard 😍",,https://www.facebook.com/ads/archive/render_ad/?id=1751482082829082&access_token=JETON_RETIRE
ANVOL,La Volaille Française,1620384037978108,1074809905416472,2026-08-09,2026-08-13,facebook,"Quand on veut manger simplement, sans y passer trop de temps, la Volaille Française est la meilleure solution ! 😍

Facile à cuisiner, facile à décliner, elle offre une multitude de possibilités en cuisine, pour varier les recettes selon les envies.

Retrouvez toutes les inspirations recettes ici : https://www.jaimelavolaille.fr/recette",,https://www.facebook.com/ads/archive/render_ad/?id=1074809905416472&access_token=JETON_RETIRE
