createur,commanditaires,nombre_de_canaux,canaux,premiere_trace,derniere_trace,attestations
Coopérative U,CNIEL | Paysan Breton,2,description | publicite payee,2026-02-20,2026-06-01,"[description] PRODUITS U | Origine France | Lait Français | Pas de jalouse ⏎ [publicite payee] Le bon, c’est quoi exactement ? 🤔  Chez Paysan Breton, le bon beurre, "
Jeffrey Cagnes,CNIEL,2,chaine du lobby | site du lobby,2026-02-24,2026-04-02,"[chaine du lobby] CHAUD! - Épisode final (avec Morgan VS, GMK et Ragnar Le Breton) ⏎ [site du lobby] CHAUD!"
LeStream,INAPORC | INTERBEV,2,chaine du lobby | description,2022-09-23,2023-05-29,[chaine du lobby] Gamestronomie Vlog #1 - Lutti ⏎ [description] RENCONTRE AVEC SOPHIE
Maître CoQ,CNIEL | Maître CoQ,2,description | publicite payee,2013-11-24,2025-11-27,[description] Sandwich japonais au Poulet ⏎ [publicite payee] 🎁#CONCOURS🎁  Un repas de fête qui sort de l'ordinaire ? On vous fait g
Mehdi Maïzi,CNIEL,2,chaine du lobby | site du lobby,2024-03-05,2024-03-05,"[chaine du lobby] QUIZZ’IN AVEC MEHDI MAÏZI, SOSO MANESS, KAMETO, BIG COLOMBIEN ET YANNO ⏎ [site du lobby] Check Food"
Mister V,CNIEL,2,description | site du lobby,2022-12-11,2022-12-11,[description] MISTER V - LES JONES ⏎ [site du lobby] Mister V : les copains au lait
Morgan VS,CNIEL,2,chaine du lobby | site du lobby,2019-07-26,2026-04-02,"[chaine du lobby] CHAUD! - Épisode final (avec Morgan VS, GMK et Ragnar Le Breton) ⏎ [site du lobby] CHAUD!"
Pierre Chomet,CIFOG | CNIEL,2,chaine du lobby | site du lobby,2021-10-28,2025-10-13,"[chaine du lobby] LE GOUTER DE MES REVES avec Hakim Jemili, Redouane Bougheraba et Pierr ⏎ [site du lobby] Humour"
Redouane Bougheraba,CNIEL,2,chaine du lobby | site du lobby,2022-03-17,2022-03-17,"[chaine du lobby] LE GOUTER DE MES REVES avec Hakim Jemili, Redouane Bougheraba et Pierr ⏎ [site du lobby] La ferme des célébrités"
Salon International de l'Agriculture,CNIEL | INTERBEV | Soignon,2,chaine du lobby | publicite payee,2015-02-17,2026-02-10,"[chaine du lobby] La France, terre de lait - la Filière laitière française en chiffres ⏎ [publicite payee] Tout est prêêêêt, il ne manque plus que vous !  Nous vous attendons av"
Tour de France,Charal | INTERBEV,2,chaine du lobby | publicite payee,2026-07-17,2026-07-24,[chaine du lobby] Bien manger pour bien bouger - LIVE Voiron ⏎ [publicite payee] La semaine dernière on a vécu de nouveaux moments inoubliables sur le 
@activiafrance,Activia,1,publicite payee,2025-12-09,2026-03-18,[publicite payee] 🥣 3 choses qui ont vraiment changé ma digestion (pss répond ventre je 
@alexandre_marchon,Tendriade,1,publicite payee,2025-10-14,2025-10-14,"[publicite payee] Aujourd'hui, le chef @alexandre_marchon relève le défi lancé par @tend"
@alinedemolder,Socopa,1,publicite payee,2025-09-18,2025-09-18,"[publicite payee] JEU CONCOURS - Burger gourmand aux champignons, viande de grison et br"
@alizee.yt,Justin Bridou,1,publicite payee,2025-11-19,2025-11-19,[publicite payee] Le saucisson ça rend les gens bons 😎 Toi aussi gagne ton calendrier Ju
@aostejambonc,Aoste,1,publicite payee,2026-06-16,2026-06-16,[publicite payee]  Aoste (@aostejamboncru) • Instagram photos and videos | Aoste (@aoste
@aostejamboncru,Aoste,1,publicite payee,2025-12-19,2026-08-24,[publicite payee]  Aoste (@aostejamboncru) • Instagram photos and videos | Aoste (@aoste
@atn.mat,Charal,1,publicite payee,2026-08-13,2026-08-13,[publicite payee] Nos 40 ans resteront gravés dans notre mémoire… et bientôt sur la peau
@autourdusucre,Régilait,1,publicite payee,2025-12-05,2026-07-22,[publicite payee] Attendez…  C'est fait maison ?  Noooon ! 😍 Le chocolat qui craque… La 
@auxdelicesdupalais,Régilait,1,publicite payee,2025-12-19,2026-03-27,"[publicite payee] Avez-vous déjà vu une basboussa aussi gourmande ? 🍋 Ultra moelleuse, f"
@barbecuesnapoleon,Socopa,1,publicite payee,2026-08-27,2026-08-27,[publicite payee] Dites-nous nous en commentaire de quelle team êtes-vous ! En tout cas 
@basilic_et_citron_vert,Régilait,1,publicite payee,2026-02-28,2026-05-14,"[publicite payee] Connaissez-vous notre lait concentré chocolat ? 🍫 Juste du lait, du su"
@charal_officiel,Charal,1,publicite payee,2025-09-09,2026-07-24,[publicite payee] 🚴‍♂️ Jeu concours Tour de France 🏁  Pour fêter notre tout premier Tour
@charalsailingteam,Charal,1,publicite payee,2025-11-25,2025-11-25,[publicite payee] Ils ont tenu la barre et la cadence. 💪 Nos skippers Jérémie Beyou et M
@chefnini_blog,Régilait,1,publicite payee,2026-05-01,2026-05-01,[publicite payee] Une tarte aux fraises sans cuisson 🍓 Garnie de notre fameuse mousse au
@chic_chic_chocolat,Régilait,1,publicite payee,2025-12-16,2026-07-10,[publicite payee] On l'a mis au congélateur… Et c'est sans doute une des meilleures idée
@coutanceaugregory,Maître CoQ,1,publicite payee,2025-12-09,2025-12-09,"[publicite payee] Dure semaine ? Ce week-end, on se pose et on savoure : 🍽️ Filets de ca"
@doriancuisine.com,Régilait,1,publicite payee,2026-04-20,2026-07-22,"[publicite payee] ☕ Vous prenez votre café comment, en été ? Nous, en glace !  Avec des "
@doriancuisine.com.leblog,Régilait,1,publicite payee,2026-02-07,2026-02-08,"[publicite payee] Un gratin réconfortant qui change un peu 🍠  Patates douces, une pointe"
@duolingofrance,Le Gaulois,1,publicite payee,2026-02-25,2026-02-25,"[publicite payee] Notre escalope milanaise, 100% volaille française, 0% @duolingofrance "
@emilie.besler,Fleury Michon,1,publicite payee,2025-11-18,2026-06-30,"[publicite payee] Pour votre santé, évitez de manger trop gras, trop sucré, trop salé. w"
@fiseworld,Charal,1,publicite payee,2026-04-29,2026-07-03,[publicite payee] On a encore des frissons quand on repense au @fiseworld 🔥🥹  Après avoi
@flaviedelaporte.ttt.,Charal,1,publicite payee,2026-06-19,2026-08-13,[publicite payee] Nos 40 ans resteront gravés dans notre mémoire… et bientôt sur la peau
@food_cakes_andco,Grand Fermage,1,publicite payee,2026-07-01,2026-07-01,[publicite payee] Direction la ferme de Franck 🐄  Une journée pour découvrir son quotidi
@gioya.paris,Fleury Michon,1,publicite payee,2026-04-20,2026-04-20,[publicite payee] Les copains @pounsitime et @lecoindupatissier m’ont donné rendez vous 
