video_id,chaine,titre,publiee,entites,forme_reconnue,extrait
3767QxBty7Q,Michou,SuperMarket Simulator IRL (ft. Byilhan et Lebouseuh),2025-04-06,CIFOG,foiegras,"ux pas vous départager, je me suis amusé aux trois. Voilà. Troisième, il y avait offrir un cadeau pour le pot de départ et tout le monde ne l'a pas fait. Je l'ai fait ça. Vous lui avez offert effectivement un beau petit foie gras. Pas piqué des hinton d'ailleurs. Bravo monsieur Michou. sont arrivés les mains vides. 4e étoile, il y avait réussir le défi du coach. Voà pour le coup personne n'a réussi malheureusement quoi. Non non non, je me suis arnaqué par le coach parce que déjà il m'a"
h80reEgwFY4,Inoxtag,Je dois m'enfuir de chez mes parents ! On essaie de finir le jeu ! (SCHOOLBOYRUNAWAY),2025-02-23,CNIEL,produitslaitiers,lement si on galère on va voir on va voir merci Manon pour ta donate ça fait plaisir demain d'ailleurs pour ceux qui veulent je serai au salon de l'agriculture donc hésitez pas à me passer voir je serai sur le stand des produits laitiers je sur sur stand Deon de Danon je passerai sur un peu plusieurs stands au salonagriculture je viendrai goûter le fromage pour voir les artisans aussi tu connais moi j'aime bien au salon d'agriculture de donner de la force un peu à aux personnes qui nous nourri
HYQ9RhpKRxs,Inoxtag,JOUR 5 pour Survivre sur une ile déserte (GTA RP ! # 5),2024-01-13,CNIEL,produitslaitiers,omment tu l'ouvres non tu le seruras en même temps que tout le monde quoi mais non je rigolais oh je rigolais nana je rigolais je rigolais ouais tu rigolais c'est ça ouais attends mais ils sont où les autres je rigolais produits laitiers son nos amis pour la vie les tu as compris ou pas je rigolais les genre les de vage ah ouais franchement tu as un humour de fou bon alors comment on ouvre ce [&nbsp;__&nbsp;] de bomkerur là tu traînes tu as bien raison de changer de sujet ok je t'explique vas-
vCTJx3lRNFc,Inoxtag,JOUR 4 pour Survivre sur une ile déserte (GTA RP ! # 3),2024-01-12,CNIEL,lesproduitslaitiers,ton sport préféré euh bah mec en ce moment l'escalade en ce moment l'escalade j'aime beaucoup tu es pas allé à l'annonce du bébé de PID et Valouse pourquoi merci Méline tout simplement parce que j'étais en tournage pour les produits laitiers je suis allé faire du fromage en Suisse du coup je ne pouvais pas y être je trouve ta meilleure vidéo c'est les zombies bah merci Dr rose ça fait plaisir ça fait plaisir tu stresses pour l'eververest non les amis non les amis dans ma tête vous savez les gars h
fQZx36ThKzI,Inoxtag,On a pris beaucoup trop de risques…,2023-05-20,CNIEL,produitslaitiers,"vaches elles étaient zdeug, j’t’explique même pas Elles étaient sous testostérone les vaches Et ce qui est incroyable dans ce genre de salon Les amis, j’suis avec Adrien T’as peur pour la cam ? - Non vas-y - Adrien des Produits Laitiers Les amis, aujourd’hui Salon de l'agriculture J’suis jamais allé On va découvrir et... - T’es prêt pour les odeurs ? Heureusement qu’ils vont pas sentir - Ça sent ? Il y a des trucs de fou à l’intérieur ou pas ? - Tu vas rentrer tu vas voir Ouais - Allez c’est"
EGEKNsVmlJI,Inoxtag,Michou m’offre le meilleur anniversaire de ma vie ! 02/02/2022 20 ans,2022-02-05,CIFOG,foiegras,coup aaa il veut pêche au gros je t'emmène pas ici pour rien à auxerre on va manger au bac mais l'art est arrêté [Musique] pv koala celle entre et à l'épaule et on mange quoi je crois là ça méritait femme tu veux qu'on foie gras la ola lol ça les gars ça me rappelle tous les liens s'étaient ici les gars c'est pis elles étaient neuf à wayne me dis carrément comment faire ok parce que tous nous jamais ses parois ya un vrai ça incroyable la draft 2010 c'était il ya un mois et demi je sui
VowqrYG61nI,Valouzz,"On fume 4 marteaux de Thor pendant 10h avec Michou, Lebouseuh, Carlos, Dobby… (FOLIE !!)",2026-04-11,CIFOG,foiegras,e de pain gen tranche de tranche de pain fleur de sel étonne. Oui. Alors par contre avec du selvais l'impression que ça avait pas trop de quand on prend un gros bout d'un coup c'est trop mais en fait on dirait un peu du foie gras en vrai. Oh mais tu es bien là alors. Non non non non. Je dois perdre de fou frère. Commence à avoir une bonne texture ou pas ? Tu fais un marathon avec tes frères ? Ouais mais j'ai un frère mec. J'ai un frère il a pas il a dit vas-y je cherchais une excuse po
XkbzhXG_jKE,Valouzz,Gros barbecue pour Noël... (mes invités adorent !),2025-12-27,CIFOG,foiegras,Trop bon. Vous avez déjà mangé de l'is parce que littéralement là ici c'est noix. Arrête [&nbsp;__&nbsp;] le gigzouné à l'heure 13h45 piles dans les clous. Tu viens manger ton noix j'adore ça. Tu as déjà mangé de l' du foie gras ? [rires] C'est du canard le foie gras. Il y a en version bois. Ah si les voies ça si c'est les voies qu'on gave. Exact. Ouais ouais. [&nbsp;__&nbsp;] [rires] depuis qu'il y a plus le local on dirait ça fait 1 ans ils sont pas vu. Mais oui c'est vrai il y a plus
Dp0a4Vh2t2c,Inoxtag 2.0,On a dormi au sommet d’une montagne ! (2 mois avant l’Everest),2024-02-03,CNIEL,lesproduitslaitiers,bon bœuf du soir on va goûter c'est parti et mec ça fait le taf de fou oh là là me je la déglingue quiand elle est bonne elle est bonne elle est bonne et qui tu aurait dû dire [&nbsp;__&nbsp;] math gros comme d'habitude les produits laitiers qui nous accompagnent partout ça fait plaisir Tom de savoir mon fromage préféré on change pas des bonnes habitudes on va goûter le potentiel de ce fromageement il est bon oh là là c'est bon j'ai décidé c'est cette vie que je veux mener partir sur un coup de tê
rtW8iPIuqKw,Inoxtag 2.0,"Questions pour des nullos ! Feat. Amine, Billy, GMK, Grim, Max et Etoiles (Best of live 3 jours #2)",2023-03-09,CNIEL,produitslaitiers,ncipal le marché salut les gars je suis désolé pour la première fois par Nestlé en Suisse dans les années 30 on peut utiliser comme ingrédients dans de nombreux desserts contenant en plus de mon ingrédient principal des produits laitiers du sucre et parfois des arômes j'ai d'abord été distribué en Amérique en 1948 avec l'introduction d'une barre de chocolat spéciale de Nestlé ayant comme ingrédient principal le beurre de cacao je suis un type de chocolat qui se distingue des autres le chocolat
cyQiTNTuDI8,Inoxtag 2.0,Pourquoi 2022 est La meilleure année de ma vie ?! (pour l’instant en tout cas),2022-12-29,CNIEL,lesproduitslaitiers,aujourd'hui on va faire une petite vidéo 24 heures à la ferme ok tu nous expliques [Musique] un peu et que c'est des mini pénis je te jure qu'à 12 ans j'avais ça tu avais ça toi tu avais plus grand que ça ou pas Mathieu les produits laitiers [Musique] en plus il y a une petite surprise ok je verrai plus tard quand la vidéo sortira nouvelle vidéo les gars VDI ça fait plaisir ça fait longtemps oui comme toi [Musique] ah oui c'est pourquoi un restaurant on va faire une pizza là on va pas on va faire u
fGiu6cwhZbA,Inoxtag 2.0,Les meilleurs moments de 2021 - (Une des meilleures années de ma vie je pense),2022-01-01,CNIEL,produitslaitiers,lque chose quand même une piscine mais wesh quel bail c'est pour toi ça P le il est malade il estj Lain inox tu veux le faire maintenant dè le matinas capté viens là attends non arrête électricité là tu fais quoi VO des produits laitiers comme Wesley tu sais que wesy en [&nbsp;__&nbsp;] il a fait disque d'or 2 millions d'écoues sur Youtube freestyle c'est n'importe quoi 2 millions d'écou gros t'inquiète tu es prêt vasy wou W wou c'est incroyable mais attends mais ça va trop loin en vrai qu'est
Anfx8M54cPY,Inoxtag 2.0,Wesley Crack - Film GTA RP,2021-07-06,CNIEL,produitslaitiers,histoire il cuisine des Tartares ici c'est mon terterre je pousser des pommes de terre je suis des terre je su pas des terr je finir à terre he c'est mauvais pour la santé ou c'est siot que du thé c'est l'été mange des produits laitiers vous en pensez quoi s franchement c'est sale s sale sale sale s franchement c'est méchant ou pas ça vient du car ça VI je pense que faut que j'aille en studio enregistrer ça vasy m'a donné une mission il a dit il faut qu'on aille pét un ban il nous donne 10000
x7KMXztee24,Inoxtag 2.0,Je me fais arrêter par la police (J’ai volé chez quelqu’un...),2021-04-01,CNIEL,produitslaitiers,ire ils cuisinent des tartes ici s'est montée à terre je sais des pommes de terre je déterre chôme pas des terres suis pas finir inter tu es mauvais pour la santé ouais c'est sûr autre que du thé c'est l'été mangent des produits laitiers tatata joyeuses fêtes de fin d'année basse ouais mais bon texte il est écrit pour sa part tu es dans un sillon et jeu dead ça on vient pour faire la fiesta montcresson don't ats la tiger tn encore cela elalamy lifar si dans la boîte jamais assis je craque pas
p2TnokxSj4s,LORIS GIULIANO,LORIS - LA CAUTION - LYON,2019-09-19,CNIEL,lesproduitslaitiers,mbeau les cours par man show mais là et puis comme si tu rentres dans la caméra comme ça et tu as ton déjeuner à merci et 15000 personnes hommes et femmes être nécessaire on dira tout coup la nati la fin non je n'ai pas les produits laitiers sont nos amis pour la population car il n'a pas le silence silence au liberia attends attends mais nous nous sommes pour la vie qu'est ce que produit sous la chemise et jamais de concerts me bonnin gamme c'est aujourd'hui la journée tout en haut avec le oui j'
ZAS8U6IrnzM,FlorianOnAir,UNE CRÊPERIE À VOLONTÉ !! 🥞 On en mange combien ?,2026-08-10,CIFOG,lefoiegras,"3h19 en fait quand on vient 2990 dout mieux prendre les plus chers. En tout cas à volonté ça. Moi je regarde les plus chers. Là il y en a 4 90. Je prendre que ça comme quand tu vas dans un buffet à volonté. Faut prendre le foie gras, le saumon et tout. Vous avez vu c'est les trucs sont à volonté mais dès que tu prends une galette gourmande, c'est plus 1 €. Ah bon ? Ah merci de voilà, il faut toujours avoir un gars qui qui regarde les petits caractères. Plus 1 € galet des CL gourmand. Ah ou"
