terme_cherche,nature_du_terme,annonceur,paye_par,ad_id,premiere_diffusion,derniere_diffusion,statut,audience,releve_le
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1845883570946145,20251014,20251025,active,1M-10M,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1845883570946161,20251015,20251025,active,1M-10M,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1845883570947329,20251015,20251025,active,1M-10M,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1844160527417490,20250924,20251013,active,1M-10M,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1844160527417506,20250924,20251013,active,1M-10M,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1844160527417522,20250924,20251013,active,1M-10M,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1844160527419458,20250924,20251013,active,1M-10M,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1845883570947345,20251015,20251025,active,1M-10M,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1843527382002705,20250918,20250919,active,200K-300K,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1843527382002721,20250918,20250919,active,200K-300K,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1843527382001841,20250918,20250919,active,100K-200K,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1843527382002689,20250918,20250919,active,10K-100K,2026-08-25
Actimel,marque (Danone),7567406392953274390,7567406392953274390,1866011595795649,20260523,20260524,active,1K-10K,2026-08-25
Actimel,marque (Danone),,,1869256302735634,20260628,20260629,active,1K-10K,2026-08-25
Actimel,marque (Danone),7489403056463806486,7489403056463806486,1869683558718722,20260703,20260704,active,1K-10K,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1843952627209345,20250923,20250924,active,0-1K,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1843952627208241,20250923,20250924,active,0-1K,2026-08-25
Actimel,marque (Danone),7646108060707979286,7646108060707979286,1871863343690785,20260727,20260727,active,0-1K,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1843952548111569,20250923,20250924,active,0-1K,2026-08-25
Actimel,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1843952627209361,20250923,20250924,active,0-1K,2026-08-25
Actimel,marque (Danone),7539662064348823574,7539662064348823574,1842229341163009,20250903,20250904,active,0-1K,2026-08-25
Activia,marque (Danone),DANONE PRODUITS FRAIS FRANCE,WPP MEDIA FRANCE,1859910946944065,20260318,20260419,active,600K-700K,2026-08-25
Activia,marque (Danone),1842816062793794,1842816062793794,1843789335303458,20250920,20250921,active,0-1K,2026-08-25
Activia,marque (Danone),lindsey54300,lindsey54300,1857198989784321,20260215,20260216,active,0-1K,2026-08-25
Activia,marque (Danone),7560007448010948630,7560007448010948630,1849141657101474,20251118,20251119,active,0-1K,2026-08-25
"Aimez la viande, mangez-en mieux",alias de INTERBEV,7457971693521207319,7457971693521207319,1841880389316658,20250830,20250831,active,1K-10K,2026-08-25
"Aimez la viande, mangez-en mieux",alias de INTERBEV,ZC MEDIA,ZC MEDIA,1844595459549186,20250929,20250929,active,1K-10K,2026-08-25
Aoste,marque (Groupe Aoste),COCHONOU - GROUPE AOSTE,COCHONOU - GROUPE AOSTE,1837881129388049,20250717,20250724,active,600K-700K,2026-08-25
Aoste,marque (Groupe Aoste),COCHONOU - GROUPE AOSTE,COCHONOU - GROUPE AOSTE,1837880790541553,20250717,20250724,active,600K-700K,2026-08-25
Aoste,marque (Groupe Aoste),COCHONOU - GROUPE AOSTE,COCHONOU - GROUPE AOSTE,1870796525433265,20260715,20260718,active,400K-500K,2026-08-25
Aoste,marque (Groupe Aoste),COCHONOU - GROUPE AOSTE,COCHONOU - GROUPE AOSTE,1870704720733666,20260714,20260718,active,300K-400K,2026-08-25
Aoste,marque (Groupe Aoste),COCHONOU - GROUPE AOSTE,COCHONOU - GROUPE AOSTE,1870127423741090,20260708,20260712,active,300K-400K,2026-08-25
Aoste,marque (Groupe Aoste),COCHONOU - GROUPE AOSTE,COCHONOU - GROUPE AOSTE,1871065660716098,20260718,20260721,active,300K-400K,2026-08-25
Aoste,marque (Groupe Aoste),COCHONOU - GROUPE AOSTE,COCHONOU - GROUPE AOSTE,1870516325830786,20260712,20260716,active,200K-300K,2026-08-25
Aoste,marque (Groupe Aoste),COCHONOU - GROUPE AOSTE,COCHONOU - GROUPE AOSTE,1869984315700241,20260706,20260709,active,200K-300K,2026-08-25
Aoste,marque (Groupe Aoste),COCHONOU - GROUPE AOSTE,COCHONOU - GROUPE AOSTE,1870314349495890,20260710,20260714,active,200K-300K,2026-08-25
Aoste,marque (Groupe Aoste),COCHONOU - GROUPE AOSTE,COCHONOU - GROUPE AOSTE,1870984969892993,20260718,20260720,active,200K-300K,2026-08-25
Aoste,marque (Groupe Aoste),COCHONOU - GROUPE AOSTE,COCHONOU - GROUPE AOSTE,1871394642101266,20260722,20260723,active,200K-300K,2026-08-25
Aoste,marque (Groupe Aoste),COCHONOU - GROUPE AOSTE,COCHONOU - GROUPE AOSTE,1871881005511890,20260727,20260728,active,200K-300K,2026-08-25
Aoste,marque (Groupe Aoste),COCHONOU - GROUPE AOSTE,COCHONOU - GROUPE AOSTE,1871880996691106,20260727,20260728,active,200K-300K,2026-08-25
Aoste,marque (Groupe Aoste),1755942995693573,1755942995693573,1871251644865537,20260720,20260721,active,1K-10K,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869427502603698,20260702,20260721,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869427502603714,20260702,20260721,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869427502603682,20260702,20260721,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1852938353606817,20260118,20260208,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1843706224247826,20250928,20251019,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1848054644022385,20251110,20251207,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1843705185173761,20250929,20251009,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1843698208520529,20250929,20251009,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1854390400662546,20260118,20260208,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869427502603666,20260702,20260721,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1843698682504225,20250929,20251009,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1843706443959426,20250929,20251019,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1854390094736849,20260118,20260208,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1843704695477458,20250929,20251009,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1843706514326610,20250929,20251019,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1848050185392226,20251110,20251207,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869427502604674,20260702,20260721,active,1M-10M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869427502604690,20260702,20260721,active,900K-1M,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869426905381249,20260701,20260721,active,700K-800K,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869427014070433,20260701,20260721,active,600K-700K,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869427014079745,20260701,20260721,active,600K-700K,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869426905370673,20260701,20260721,active,500K-600K,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869427276104706,20260701,20260721,active,400K-500K,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869427014089057,20260701,20260721,active,400K-500K,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1843706544691281,20250928,20251009,active,10K-100K,2026-08-25
Babybel,marque (Groupe Bel),7569920157397549078,7569920157397549078,1848317381223426,20251109,20251110,active,10K-100K,2026-08-25
Babybel,marque (Groupe Bel),,,1845774188460161,20251012,20251014,active,10K-100K,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869342727646802,20260629,20260702,active,10K-100K,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869342732403009,20260629,20260702,active,10K-100K,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869342898763313,20260629,20260705,active,10K-100K,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869342293592274,20260629,20260702,active,1K-10K,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869342960177249,20260629,20260703,active,1K-10K,2026-08-25
Babybel,marque (Groupe Bel),BEL,Publicis Media - Starcom,1869342910994897,20260629,20260702,active,1K-10K,2026-08-25
Babybel,marque (Groupe Bel),1730782822528006,1730782822528006,1850958083670018,20251208,20251209,active,1K-10K,2026-08-25
Babybel,marque (Groupe Bel),1730782822528006,1730782822528006,1850886171418626,20251207,20251209,active,1K-10K,2026-08-25
Babybel,marque (Groupe Bel),7551141512206090262,7551141512206090262,1848614519861250,20251112,20251113,active,1K-10K,2026-08-25
Babybel,marque (Groupe Bel),7559700225615462422,7559700225615462422,1846357655477249,20251018,20251019,active,1K-10K,2026-08-25
Babybel,marque (Groupe Bel),7568828978358665219,7568828978358665219,1847858685734929,20251104,20251105,active,1K-10K,2026-08-25
Babybel,marque (Groupe Bel),1797019787873285,1797019787873285,1852786951756801,20251228,20251229,active,1K-10K,2026-08-25
Babybel,marque (Groupe Bel),7498369308414705686,7498369308414705686,1846708685475890,20251022,20251025,active,0-1K,2026-08-25
Babybel,marque (Groupe Bel),7498369308414705686,7498369308414705686,1859732503758866,20260315,20260318,active,0-1K,2026-08-25
Babybel,marque (Groupe Bel),1730782822528006,1730782822528006,1851017803480258,20251209,20251210,active,0-1K,2026-08-25
Babybel,marque (Groupe Bel),7625171771095777302,7625171771095777302,1861826779183122,20260407,20260408,active,0-1K,2026-08-25
Babybel,marque (Groupe Bel),1730782822528006,1730782822528006,1852038466846738,20251220,20251221,active,0-1K,2026-08-25
Babybel,marque (Groupe Bel),1797019787873285,1797019787873285,1852897734981633,20251230,20251231,active,0-1K,2026-08-25
Babybel,marque (Groupe Bel),7561778493017554966,7561778493017554966,1846227435724801,20251017,20251017,active,0-1K,2026-08-25
Babybel,marque (Groupe Bel),,,1841529812804626,20250826,20250827,active,0-1K,2026-08-25
Babybel,marque (Groupe Bel),1829627282649089,1829627282649089,1869756985815489,20260704,20260705,active,0-1K,2026-08-25
Babybel,marque (Groupe Bel),7498369308414705686,7498369308414705686,1846069358010418,20251015,20251019,active,0-1K,2026-08-25
Babybel,marque (Groupe Bel),1806939645410319,1806939645410319,1848248541676546,20251108,20251108,active,0-1K,2026-08-25
Babybel,marque (Groupe Bel),7498369308414705686,7498369308414705686,1845625966708994,20251010,20251013,active,0-1K,2026-08-25
Boursin,marque (Groupe Bel),7652801563466924054,7652801563466924054,1874020556633553,20260820,20260821,active,10K-100K,2026-08-25
Boursin,marque (Groupe Bel),7607803032327159830,7607803032327159830,1870897798108162,20260716,20260717,active,10K-100K,2026-08-25
Boursin,marque (Groupe Bel),7585505536188088342,7585505536188088342,1862551314627681,20260415,20260417,active,10K-100K,2026-08-25
Boursin,marque (Groupe Bel),1796410898617359,1796410898617359,1861218446246913,20260331,20260401,active,10K-100K,2026-08-25
Boursin,marque (Groupe Bel),7561483514277789718,7561483514277789718,1855021884123138,20260122,20260125,active,10K-100K,2026-08-25
Boursin,marque (Groupe Bel),1735193279178757,1735193279178757,1862009124653058,20260409,20260412,active,10K-100K,2026-08-25
Boursin,marque (Groupe Bel),CuisinecreolesIDF,CuisinecreolesIDF,1863803999439057,20260429,20260506,active,10K-100K,2026-08-25
