id,date,createur,pays_createur,marques,label,video,releve_le
v24044gl0000d3klm8vog65r5tcrb180,20251010,silentplayy,,,Paid Partnership,"[{""cover_image_url"": ""https://p16-common-sign.tiktokcdn.com/tos-no1a-p-0037-no/oI7DFBNXVE2fCXspQGl2EfgjkW6noQArHFrRgx~tplv-noop.image?dr=18692&refresh_token=273684a8&x-expires=1787658023&x-signature=IKPt8rR%2Brz%2B8gJGGE9kaf2zhl3M%3D&t=9276707c&ps=14f1eb3e&shp=9e36835a&shcp=ec394d43&idc=sg1&VideoID=",2026-08-25 05:39 UTC
v24025gl0000d3g57uvog65iintipprg,20250928,ouzzlefou2,,,Promotional Content,"[{""cover_image_url"": ""https://p19-common-sign.tiktokcdn.com/tos-no1a-p-0037-no/oEnQJeLcQWAr6gLAgWkMQ3yzUnpZfUjAaWe8Gf~tplv-noop.image?dr=18692&refresh_token=f3e0f07b&x-expires=1787658023&x-signature=1tn%2B1%2BCiSy%2FbqJZK%2F6VYtjg9fa8%3D&t=9276707c&ps=14f1eb3e&shp=9e36835a&shcp=ec394d43&idc=sg1&Vide",2026-08-25 05:39 UTC
v24044gl0000d15ek97og65n1t2g56ig,20250612,family_fanich,,,Paid Partnership,"[{""cover_image_url"": ""https://p16-common-sign.tiktokcdn.com/tos-no1a-p-0037-no/o0vPAiJZrLBBpKlEqaUrIZCIViD6JmBEm0YK3~tplv-noop.image?dr=18692&refresh_token=695cd99d&x-expires=1787657994&x-signature=p8NL2eGRrmBf%2FXGUOeycpsa%2F7CE%3D&t=9276707c&ps=14f1eb3e&shp=9e36835a&shcp=ec394d43&idc=sg1&VideoID=v",2026-08-25 05:39 UTC
v24044gl0000d62diavog65vqsbahpsg,20260205,lyric_sander,,,Paid Partnership,"[{""cover_image_url"": ""https://p19-common-sign.tiktokcdn.com/tos-no1a-p-0037-no/ow51XDkI57FNFrrfEgfExkp63GRohAJHEIaBDZ~tplv-noop.image?dr=18692&refresh_token=95bc3ba6&x-expires=1787658272&x-signature=3GLF4T7vU6ZbXhwetwwN5cG7TJE%3D&t=9276707c&ps=14f1eb3e&shp=9e36835a&shcp=ec394d43&idc=sg1&VideoID=v240",2026-08-25 05:39 UTC
v24044gl0000cve44kfog65oahq7shs0,20250320,mcdonaldsfrance,,,Promotional Content,"[{""cover_image_url"": ""https://p16-common-sign.tiktokcdn.com/tos-no1a-p-0037-no/oIIDn3BwzjREEB4qKjJFoe8AEjkqcR6EOgfFRQ~tplv-noop.image?dr=18692&refresh_token=2ab43ec3&x-expires=1787657968&x-signature=5pjXsEDDQYtTw6dWsbvTwv0em78%3D&t=9276707c&ps=14f1eb3e&shp=9e36835a&shcp=ec394d43&idc=sg1&VideoID=v240",2026-08-25 05:39 UTC
v24044gl0000d2hgu6nog65ihjgaa020,20250818,lise_favre,,,Paid Partnership,"[{""url"": ""https://v16m.tiktokcdn.com/890454fecc4684a378912db280f6d7ee/6a8d7eff/video/tos/useast2a/tos-useast2a-ve-68c810-euttp/oMI8ygkDoBHlA9KFEH9wWAQGEFFGfojgcRIf9a/?a=475769&bti=ODM6N2YuLjY6&&bt=1501&ft=.NpOcInz7ThNiykGXq8Zmo&mime_type=video_mp4&rc=OTZlNzU5ZDk1PGk5Zzc1M0BpMzNkbWw5cjlqNTMzbzczNUAzN",2026-08-25 05:39 UTC
v09044g40000cd6nmarc77u6hev64n80,20221017,nicocaponecomedy,,,Paid Partnership,"[{""cover_image_url"": ""https://p19-common-sign.tiktokcdn.com/tos-maliva-p-0068/70beedc093d14098a8d0496354656b79_1666022196~tplv-noop.image?dr=18692&refresh_token=99ca3028&x-expires=1787657984&x-signature=3cMXBYb7YYDLQs454rx6B%2B38lTQ%3D&t=9276707c&ps=14f1eb3e&shp=9e36835a&shcp=ec394d43&idc=sg1&VideoI",2026-08-25 05:39 UTC
v24044gl0000d2ff07fog65ojcprajrg,20250815,chloedupuis.co,,,Paid Partnership,"[{""cover_image_url"": ""https://p16-common-sign.tiktokcdn.com/tos-no1a-p-0037-no/oUmNeAqJvkGLdEQoknFfFBgJn8CzAuQNRsDxEd~tplv-noop.image?dr=18692&refresh_token=f0257ee7&x-expires=1787657995&x-signature=MP5%2BiaSstE0R%2BUHBNo5iSCYIqyM%3D&t=9276707c&ps=14f1eb3e&shp=9e36835a&shcp=ec394d43&idc=sg1&VideoID=",2026-08-25 05:39 UTC
v24044gl0000d017o4vog65gs4s0lrg0,20250418,duver_montero2,,,Paid Partnership,"[{""cover_image_url"": ""https://p19-common-sign.tiktokcdn.com/tos-no1a-p-0037-no/okEDATREQFAf3QgELoBgnAwVkBFw3fADnMSTMh~tplv-noop.image?dr=18692&refresh_token=c2fa01c4&x-expires=1787658011&x-signature=hF6VcFLdD%2Ftz0OKaRtkdgSO8970%3D&t=9276707c&ps=14f1eb3e&shp=9e36835a&shcp=ec394d43&idc=sg1&VideoID=v2",2026-08-25 05:39 UTC
v24044gl0000d19s09vog65g20r6qf60,20250619,family_fanich,,,Paid Partnership,"[{""cover_image_url"": ""https://p16-common-sign.tiktokcdn.com/tos-no1a-p-0037-no/oAYEfABUMwJFkiRZoEPTAIkEgIzTBDaIHQweit~tplv-noop.image?dr=18692&refresh_token=6d8a0f71&x-expires=1787657992&x-signature=wR%2F2afPoM6j0O0oUK%2Fz5500Xvcg%3D&t=9276707c&ps=14f1eb3e&shp=9e36835a&shcp=ec394d43&idc=sg1&VideoID=",2026-08-25 05:39 UTC
